"default","105727.java","1","13","default","61931.java","1","13"
"default","108679.java","1","1138","default","84418.java","1","1138"
"default","103325.java","1","135","default","105502.java","1","135"
"default","100777.java","1","588","default","107930.java","1","588"
"default","110253.java","1","34","default","23218.java","1","34"
"default","103325.java","1","135","default","60842.java","1","135"
"default","105502.java","1","135","default","60842.java","1","135"
"default","111525.java","1","35","default","99427.java","1","35"
"default","103325.java","1","135","default","86573.java","1","135"
"default","105502.java","1","135","default","86573.java","1","135"
"default","103325.java","1","135","default","24387.java","1","135"
"default","105502.java","1","135","default","24387.java","1","135"
"default","103325.java","1","135","default","24853.java","1","135"
"default","105502.java","1","135","default","24853.java","1","135"
"default","103325.java","1","135","default","78479.java","1","135"
"default","105502.java","1","135","default","78479.java","1","135"
"default","108679.java","1","1138","default","45488.java","1","1138"
"default","108679.java","1","1138","default","65821.java","1","1138"
"default","108679.java","1","1138","default","29402.java","1","1138"
"default","116219.java","1","43","default","18886.java","1","43"
"default","12475.java","1","26","default","52549.java","1","26"
"default","12475.java","1","26","default","68295.java","1","26"
"default","12475.java","1","26","default","35457.java","1","26"
"default","12475.java","1","26","default","84837.java","1","26"
"default","12475.java","1","26","default","40831.java","1","26"
"default","12475.java","1","26","default","13055.java","1","26"
"default","12475.java","1","26","default","28114.java","1","26"
"default","129330.java","1","757","default","27602.java","1","757"
"default","13055.java","1","26","default","52549.java","1","26"
"default","13055.java","1","26","default","68295.java","1","26"
"default","13055.java","1","26","default","35457.java","1","26"
"default","13055.java","1","26","default","84837.java","1","26"
"default","13055.java","1","26","default","40831.java","1","26"
"default","13055.java","1","26","default","28114.java","1","26"
"default","131028.java","1","93","default","78171.java","1","93"
"default","19205.java","1","1493","default","95704.java","1","1493"
"default","20160.java","1","27","default","70022.java","1","27"
"default","20160.java","1","27","default","41557.java","1","27"
"default","24387.java","1","135","default","60842.java","1","135"
"default","24387.java","1","135","default","86573.java","1","135"
"default","24387.java","1","135","default","24853.java","1","135"
"default","24387.java","1","135","default","78479.java","1","135"
"default","24853.java","1","135","default","60842.java","1","135"
"default","24853.java","1","135","default","86573.java","1","135"
"default","24853.java","1","135","default","78479.java","1","135"
"default","28114.java","1","26","default","52549.java","1","26"
"default","28114.java","1","26","default","68295.java","1","26"
"default","28114.java","1","26","default","35457.java","1","26"
"default","28114.java","1","26","default","84837.java","1","26"
"default","28114.java","1","26","default","40831.java","1","26"
"default","29402.java","1","1138","default","84418.java","1","1138"
"default","29402.java","1","1138","default","45488.java","1","1138"
"default","29402.java","1","1138","default","65821.java","1","1138"
"default","34092.java","1","21","default","519.java","1","21"
"default","34322.java","1","281","default","55330.java","1","281"
"default","35457.java","1","26","default","52549.java","1","26"
"default","35457.java","1","26","default","68295.java","1","26"
"default","35457.java","1","26","default","84837.java","1","26"
"default","35457.java","1","26","default","40831.java","1","26"
"default","40602.java","1","80","default","69836.java","1","80"
"default","40831.java","1","26","default","52549.java","1","26"
"default","40831.java","1","26","default","68295.java","1","26"
"default","41557.java","1","27","default","70022.java","1","27"
"default","40831.java","1","26","default","84837.java","1","26"
"default","45488.java","1","1138","default","84418.java","1","1138"
"default","45488.java","1","1138","default","65821.java","1","1138"
"default","52262.java","1","503","default","64745.java","1","503"
"default","52549.java","1","26","default","68295.java","1","26"
"default","52549.java","1","26","default","84837.java","1","26"
"default","60842.java","1","135","default","86573.java","1","135"
"default","60842.java","1","135","default","78479.java","1","135"
"default","65821.java","1","1138","default","84418.java","1","1138"
"default","68295.java","1","26","default","84837.java","1","26"
"default","78479.java","1","135","default","86573.java","1","135"
"default","94572.java","1","62","default","9774.java","1","62"
